algorithm,topology,churn_rate,trial,n_initial,n_rounds,leader_changes,re_elections,avg_alive,avg_lqs,lqs_std
Fitness,geometric,0.1,0,20,50,1,1,16.34,0.9186202712054574,1.1102230246251565e-16
Bully,geometric,0.1,0,20,50,3,3,16.34,0.6562912495091728,0.0
Random,geometric,0.1,0,20,50,3,3,16.34,0.69018635460393,0.0
HighBattery,geometric,0.1,0,20,50,2,2,16.34,0.9726395623206673,1.1102230246251565e-16
MostConnected,geometric,0.1,0,20,50,0,0,16.34,0.9186202712054574,1.1102230246251565e-16
Raft,geometric,0.1,0,20,50,3,3,16.34,0.9186202712054574,1.1102230246251565e-16
Fitness,geometric,0.1,1,20,50,2,2,21.66,1.0,0.0
Bully,geometric,0.1,1,20,50,3,3,21.66,0.6078980312180982,1.1102230246251565e-16
Random,geometric,0.1,1,20,50,6,6,21.66,0.8547004403427964,0.0
HighBattery,geometric,0.1,1,20,50,2,2,21.66,1.0,0.0
MostConnected,geometric,0.1,1,20,50,3,3,21.66,0.6813352627202959,1.1102230246251565e-16
Raft,geometric,0.1,1,20,50,2,2,21.66,0.555960816363034,0.0
Fitness,geometric,0.1,2,20,50,2,2,13.7,0.8214425140235919,0.0
Bully,geometric,0.1,2,20,50,1,1,13.7,0.8523133798500667,1.1102230246251565e-16
Random,geometric,0.1,2,20,50,1,1,13.7,0.7920030187989248,1.1102230246251565e-16
HighBattery,geometric,0.1,2,20,50,3,3,13.7,0.9144835963853187,1.1102230246251565e-16
MostConnected,geometric,0.1,2,20,50,2,2,13.7,0.8155880221792247,2.220446049250313e-16
Raft,geometric,0.1,2,20,50,1,1,13.7,0.8214425140235919,0.0
Fitness,geometric,0.1,3,20,50,2,2,21.9,0.9169587945183486,2.220446049250313e-16
Bully,geometric,0.1,3,20,50,0,0,21.9,0.8136847617133683,0.0
Random,geometric,0.1,3,20,50,0,0,21.9,1.0,0.0
HighBattery,geometric,0.1,3,20,50,1,1,21.9,0.7179616997667889,1.1102230246251565e-16
MostConnected,geometric,0.1,3,20,50,3,3,21.9,0.8479107156191762,1.1102230246251565e-16
Raft,geometric,0.1,3,20,50,0,0,21.9,0.8227943315012916,1.1102230246251565e-16
Fitness,geometric,0.1,4,20,50,4,4,20.9,1.0,0.0
Bully,geometric,0.1,4,20,50,2,2,20.9,0.6907276885334133,0.0
Random,geometric,0.1,4,20,50,2,2,20.9,0.6907276885334133,0.0
HighBattery,geometric,0.1,4,20,50,4,4,20.9,0.88165249626752,0.0
MostConnected,geometric,0.1,4,20,50,5,5,20.9,0.9903537432333285,1.1102230246251565e-16
Raft,geometric,0.1,4,20,50,0,0,20.9,0.7539974890308947,1.1102230246251565e-16
Fitness,geometric,0.1,5,20,50,1,1,20.3,0.8235868512770594,1.1102230246251565e-16
Bully,geometric,0.1,5,20,50,4,4,20.3,0.8355342657299945,1.1102230246251565e-16
Random,geometric,0.1,5,20,50,0,0,20.3,0.9647509955485396,1.1102230246251565e-16
