algorithm,topology,n_agents,failure_type,trial,initial_leader,initial_lqs,initial_rounds,killed_agents,recovery_leader,recovery_lqs,recovery_rounds,recovery_messages,recovery_notes
Fitness,random,10,leader_only,14,4,1.0,7,1,3.0,1.0,7,110,
Bully,random,10,leader_only,14,9,0.8799657338324551,10,1,8.0,0.826544067403778,9,45,
Random,random,10,leader_only,14,6,0.7983022418918654,1,1,5.0,0.7775059264835646,1,9,
HighBattery,random,10,leader_only,14,5,0.759653285374923,2,1,4.0,0.9435835866844576,2,9,
MostConnected,random,10,leader_only,14,1,0.897039643551554,2,1,3.0,0.9149097841464202,2,22,
Raft,random,10,leader_only,14,0,0.6530527897693735,6,1,5.0,0.7518253392953409,6,19,term=1
Fitness,random,10,leader_only,15,3,1.0,6,1,6.0,1.0,6,104,
Bully,random,10,leader_only,15,9,0.6989559378566764,10,1,8.0,0.7149765617500791,9,45,
Random,random,10,leader_only,15,4,0.9656836908319284,1,1,9.0,0.761436331066411,1,9,
HighBattery,random,10,leader_only,15,6,0.9570060412656995,2,1,8.0,0.7387259116970076,2,9,
MostConnected,random,10,leader_only,15,3,1.0,2,1,5.0,0.9952556560085764,2,26,
Raft,random,10,leader_only,15,0,0.8704259355722226,6,1,4.0,0.9723295146377384,6,22,term=1
Fitness,random,10,leader_only,16,1,1.0,6,1,6.0,1.0,6,120,
Bully,random,10,leader_only,16,9,0.6148996112591174,10,1,8.0,0.7854677405029578,9,45,
Random,random,10,leader_only,16,1,1.0,1,1,8.0,0.8982352696742759,1,9,
HighBattery,random,10,leader_only,16,1,1.0,2,1,2.0,0.8759335628308444,2,9,
MostConnected,random,10,leader_only,16,6,0.9882551977959422,2,1,1.0,1.0,2,28,
Raft,random,10,leader_only,16,0,0.8309899088226578,6,1,3.0,0.6957749845454057,7,20,term=1
Fitness,random,10,leader_only,17,9,1.0,7,1,7.0,1.0,6,88,
Bully,random,10,leader_only,17,9,1.0,10,1,8.0,0.8805713210246857,9,45,
Random,random,10,leader_only,17,8,0.780924084227248,1,1,5.0,0.796363068851504,1,9,
HighBattery,random,10,leader_only,17,6,0.7655958124764964,2,1,1.0,0.8772846051736372,2,9,
MostConnected,random,10,leader_only,17,7,0.960598440356066,2,1,3.0,0.974073341132379,2,18,
Raft,random,10,leader_only,17,0,0.9724513650978913,6,1,9.0,1.0,6,20,term=1
Fitness,random,10,leader_only,18,3,1.0,6,1,5.0,1.0,7,120,
Bully,random,10,leader_only,18,9,0.721210757857622,10,1,8.0,0.8817988324086848,9,45,
Random,random,10,leader_only,18,0,0.6815162215077433,1,1,5.0,0.7739318299206235,1,9,
HighBattery,random,10,leader_only,18,0,0.6815162215077433,2,1,3.0,1.0,2,9,
MostConnected,random,10,leader_only,18,3,1.0,2,1,5.0,1.0,2,24,
Raft,random,10,leader_only,18,4,0.8077274686058593,6,1,1.0,0.930450713663223,6,21,term=1
Fitness,random,10,leader_only,19,6,1.0,7,1,4.0,1.0,8,120,
Bully,random,10,leader_only,19,9,0.8176266601179999,10,1,8.0,0.7691787616876147,9,45,
Random,random,10,leader_only,19,2,0.5615132192559878,1,1,9.0,0.8150785244641606,1,9,
HighBattery,random,10,leader_only,19,0,0.864191191982906,2,1,9.0,0.8947861022180108,2,9,
MostConnected,random,10,leader_only,19,6,1.0,2,1,0.0,0.9298498308967249,2,20,
Raft,random,10,leader_only,19,5,0.8199413251966668,6,1,2.0,0.5770991129839332,6,18,term=1
Fitness,random,10,leader_only,20,9,1.0,7,1,8.0,1.0,7,90,
Bully,random,10,leader_only,20,9,1.0,10,1,8.0,1.0,9,45,
Random,random,10,leader_only,20,0,0.656438424617334,1,1,9.0,1.0,1,9,
HighBattery,random,10,leader_only,20,0,0.656438424617334,2,1,9.0,1.0,2,9,
MostConnected,random,10,leader_only,20,9,1.0,2,1,0.0,0.9511360269761051,2,18,
Raft,random,10,leader_only,20,1,0.528297140378479,6,1,0.0,0.6535389934772469,6,21,No consensus after 20 terms
Fitness,random,10,leader_only,21,9,1.0,6,1,3.0,1.0,8,96,
Bully,random,10,leader_only,21,9,1.0,10,1,8.0,0.7923132728556362,9,45,
Random,random,10,leader_only,21,2,0.6707334853981377,1,1,9.0,1.0,1,9,
HighBattery,random,10,leader_only,21,0,0.8087020448096611,2,1,1.0,0.9340400069937169,2,9,
MostConnected,random,10,leader_only,21,9,1.0,2,1,0.0,0.9350799156197718,2,16,
Raft,random,10,leader_only,21,7,0.7763177847263705,6,1,9.0,1.0,6,22,term=1
Fitness,random,10,leader_only,22,2,1.0,6,1,6.0,1.0,7,100,
Bully,random,10,leader_only,22,9,0.7182298511116313,10,1,8.0,0.8557487728842105,9,45,
Random,random,10,leader_only,22,3,0.8606460657072051,1,1,7.0,0.9225325504047297,1,9,
HighBattery,random,10,leader_only,22,8,0.789552780556962,2,1,2.0,1.0,2,9,
MostConnected,random,10,leader_only,22,0,0.9054788679852105,2,1,2.0,1.0,2,18,
Raft,random,10,leader_only,22,2,1.0,6,1,1.0,0.6326691261297365,7,18,term=1
Fitness,random,10,leader_only,23,2,1.0,8,1,3.0,1.0,7,70,
Bully,random,10,leader_only,23,9,0.6494411922656615,10,1,8.0,0.5736380381354177,9,45,
Random,random,10,leader_only,23,5,0.9639534181324405,1,1,4.0,0.7771062873471329,1,9,
HighBattery,random,10,leader_only,23,5,0.9639534181324405,2,1,8.0,0.5856116038581084,2,9,
MostConnected,random,10,leader_only,23,0,0.7197849077593459,2,1,2.0,0.9846479640302963,2,14,
Raft,random,10,leader_only,23,4,0.9216680087200643,6,1,2.0,0.8765507856757895,6,20,term=1
Fitness,random,10,leader_only,24,1,1.0,6,1,4.0,1.0,7,60,
Bully,random,10,leader_only,24,9,0.7275698708663206,10,1,8.0,0.682062326979506,9,45,
Random,random,10,leader_only,24,2,0.6714955920102331,1,1,0.0,0.6132532750736515,1,9,
HighBattery,random,10,leader_only,24,1,1.0,2,1,2.0,0.8703247639140149,2,9,
MostConnected,random,10,leader_only,24,1,1.0,2,1,8.0,0.932344658809313,2,12,
Raft,random,10,leader_only,24,0,0.6118629498686339,6,1,1.0,1.0,6,22,term=1
Fitness,random,10,leader_only,25,6,1.0,7,1,5.0,1.0,7,70,
Bully,random,10,leader_only,25,9,0.7845432244458198,10,1,8.0,0.8063574934730422,9,45,
Random,random,10,leader_only,25,1,0.9837176705288879,1,1,0.0,0.8674257390736684,1,9,
HighBattery,random,10,leader_only,25,8,0.8207106498139581,2,1,9.0,0.7698726374986586,2,9,
MostConnected,random,10,leader_only,25,6,1.0,2,1,5.0,1.0,2,14,
Raft,random,10,leader_only,25,2,0.7766864193792112,6,1,0.0,0.8031140141248606,6,19,No consensus after 20 terms
Fitness,random,10,leader_only,26,9,1.0,7,1,2.0,1.0,7,50,
Bully,random,10,leader_only,26,9,1.0,10,1,8.0,0.5615799758537738,9,45,
Random,random,10,leader_only,26,5,0.6461853227993402,1,1,0.0,0.8891738217266951,1,9,
HighBattery,random,10,leader_only,26,2,0.7419487498168461,2,1,5.0,0.6071872448205307,2,9,
MostConnected,random,10,leader_only,26,9,1.0,2,1,2.0,1.0,2,10,
Raft,random,10,leader_only,26,0,0.8938679590861706,6,1,4.0,0.8593569138045163,6,16,term=1
Fitness,random,10,leader_only,27,6,1.0,7,1,0.0,1.0,7,100,
Bully,random,10,leader_only,27,9,0.8027816443508767,10,1,8.0,0.7975005692455944,9,45,
Random,random,10,leader_only,27,9,0.8027816443508767,1,1,6.0,1.0,1,9,
HighBattery,random,10,leader_only,27,7,0.7185372463321136,2,1,2.0,0.8079621792520763,2,9,
MostConnected,random,10,leader_only,27,0,0.913959088831732,2,1,4.0,0.918953928571033,2,20,
Raft,random,10,leader_only,27,1,0.7331117904800356,6,1,5.0,0.6480769473115671,6,19,term=1
Fitness,random,10,leader_only,28,3,1.0,8,1,4.0,1.0,8,84,
Bully,random,10,leader_only,28,9,0.6800439042202451,10,1,8.0,0.941430121441385,9,45,
Random,random,10,leader_only,28,8,0.917673322720645,1,1,4.0,0.9660744292606748,1,9,
HighBattery,random,10,leader_only,28,3,1.0,2,1,5.0,0.8884556585944112,2,9,
MostConnected,random,10,leader_only,28,2,0.7872820002730633,2,1,8.0,1.0,2,14,
Raft,random,10,leader_only,28,3,1.0,6,1,2.0,0.9693804034559799,6,16,term=1
Fitness,random,10,leader_only,29,1,1.0,6,1,4.0,1.0,6,88,
Bully,random,10,leader_only,29,9,0.8807819426935268,10,1,8.0,0.7495179573489789,9,45,
Random,random,10,leader_only,29,1,1.0,1,1,8.0,0.7421157756880795,1,9,
HighBattery,random,10,leader_only,29,1,1.0,2,1,7.0,0.7947665478054908,2,9,
MostConnected,random,10,leader_only,29,4,0.9884819301591158,2,1,1.0,1.0,2,16,
Raft,random,10,leader_only,29,4,0.9884819301591158,6,1,2.0,0.6617681671050039,6,18,term=1
Fitness,random,10,leader_and_secondary,0,0,1.0,7,2,4.0,1.0,8,96,
Bully,random,10,leader_and_secondary,0,9,0.8368385330925083,10,2,7.0,0.7145249154953319,8,36,
Random,random,10,leader_and_secondary,0,3,0.9088390988666705,1,2,4.0,0.7031136534095587,1,8,
HighBattery,random,10,leader_and_secondary,0,7,0.7765597070360193,2,2,8.0,0.7636272822227873,2,8,
MostConnected,random,10,leader_and_secondary,0,0,1.0,2,2,5.0,1.0,2,16,
Raft,random,10,leader_and_secondary,0,6,0.8608059322267315,6,2,0.0,1.0,8,19,No consensus after 20 terms
Fitness,random,10,leader_and_secondary,1,9,1.0,6,2,1.0,1.0,6,56,
Bully,random,10,leader_and_secondary,1,9,1.0,10,2,7.0,0.9559241569643424,8,36,
Random,random,10,leader_and_secondary,1,1,0.8668792257038119,1,2,0.0,0.8352777230066774,1,8,
HighBattery,random,10,leader_and_secondary,1,1,0.8668792257038119,2,2,9.0,1.0,2,8,
MostConnected,random,10,leader_and_secondary,1,4,0.9757977798909876,2,2,1.0,1.0,2,14,
Raft,random,10,leader_and_secondary,1,8,0.7384658658376162,6,2,1.0,0.8598409347809246,6,18,term=1
Fitness,random,10,leader_and_secondary,2,4,1.0,6,2,5.0,1.0,7,80,
Bully,random,10,leader_and_secondary,2,9,0.5999611700601648,10,2,7.0,0.7597559133279657,8,36,
Random,random,10,leader_and_secondary,2,8,0.8054988628284626,1,2,6.0,0.7576274591210587,1,8,
HighBattery,random,10,leader_and_secondary,2,8,0.8054988628284626,2,2,3.0,0.6810703149471764,2,8,
MostConnected,random,10,leader_and_secondary,2,4,1.0,2,2,8.0,1.0,2,14,
Raft,random,10,leader_and_secondary,2,9,0.5999611700601648,6,2,3.0,0.7116445012660814,6,15,term=1
Fitness,random,10,leader_and_secondary,3,2,1.0,7,2,6.0,1.0,8,96,
Bully,random,10,leader_and_secondary,3,9,0.8457098128201993,10,2,7.0,0.7549033666594002,8,36,
Random,random,10,leader_and_secondary,3,4,0.8150135790455246,1,2,1.0,0.598631414173798,1,8,
HighBattery,random,10,leader_and_secondary,3,2,1.0,2,2,9.0,0.8296699197294035,2,8,
MostConnected,random,10,leader_and_secondary,3,2,1.0,2,2,4.0,0.9637276657199955,2,16,
Raft,random,10,leader_and_secondary,3,9,0.8457098128201993,6,2,2.0,1.0,6,15,term=1
Fitness,random,10,leader_and_secondary,4,9,1.0,7,2,0.0,1.0,5,24,
Bully,random,10,leader_and_secondary,4,9,1.0,10,2,7.0,0.6623871445377233,8,36,
Random,random,10,leader_and_secondary,4,2,0.6212050580573749,1,2,4.0,0.6144477666290576,1,8,
HighBattery,random,10,leader_and_secondary,4,7,0.8597354669523631,2,2,1.0,0.7394503629644981,2,8,
MostConnected,random,10,leader_and_secondary,4,9,1.0,2,2,1.0,0.9175938531368371,2,6,
Raft,random,10,leader_and_secondary,4,0,0.8236814364371624,6,2,3.0,0.8080270940651123,6,16,term=1
Fitness,random,10,leader_and_secondary,5,1,1.0,7,2,0.0,1.0,7,50,
Bully,random,10,leader_and_secondary,5,9,0.5443388417322078,10,2,7.0,0.6716279564420985,8,36,
Random,random,10,leader_and_secondary,5,7,0.6874739576115219,1,2,5.0,0.9744668882774821,1,8,
HighBattery,random,10,leader_and_secondary,5,4,0.7538374239715245,2,2,2.0,0.9129062477527822,2,8,
MostConnected,random,10,leader_and_secondary,5,0,0.9255452678899826,2,2,3.0,1.0,2,12,
Raft,random,10,leader_and_secondary,5,0,0.9255452678899826,6,2,4.0,0.7609142964637382,7,15,term=1
Fitness,random,10,leader_and_secondary,6,3,1.0,7,2,1.0,1.0,9,98,
Bully,random,10,leader_and_secondary,6,9,0.7015017626597552,10,2,7.0,0.8307853062969348,8,36,
Random,random,10,leader_and_secondary,6,4,0.6666360110648226,1,2,8.0,0.8688104877973092,1,8,
HighBattery,random,10,leader_and_secondary,6,1,0.7538713694948133,2,2,9.0,0.7376910019927354,2,8,
