algorithm,topology,n_agents,trial,rounds_to_converge,messages_sent,lqs,graph_diameter,graph_density,election_time_ms
Bully,random,5,4,5,15,0.7913096740945668,4,0.4,0.7578709999904731
Random,random,5,4,1,5,0.9733368450297474,4,0.4,1.1036779999926694
HighBattery,random,5,4,2,5,0.7913096740945668,4,0.4,0.8277520000063987
MostConnected,random,5,4,2,8,0.9283025411388584,4,0.4,1.3252959999903169
Raft,random,5,4,6,11,0.9733368450297474,4,0.4,0.954337999999666
Fitness,random,5,5,5,30,1.0,2,0.5,1.7666809999923316
Bully,random,5,5,5,15,0.8441431690766664,2,0.5,0.6001710000020921
Random,random,5,5,1,5,0.6755860608919768,2,0.5,0.5415520000013885
HighBattery,random,5,5,2,5,1.0,2,0.5,0.5858329999881562
MostConnected,random,5,5,2,10,1.0,2,0.5,0.6254189999879145
Raft,random,5,5,7,10,0.5433248287559397,2,0.5,0.6502140000037571
Fitness,random,5,6,6,32,1.0,3,0.4,1.6710839999944938
Bully,random,5,6,5,15,0.7662475592974476,3,0.4,0.7381620000046496
Random,random,5,6,1,5,1.0,3,0.4,0.7307569999994712
HighBattery,random,5,6,2,5,1.0,3,0.4,0.7143509999991693
MostConnected,random,5,6,2,8,1.0,3,0.4,0.8621209999972734
Raft,random,5,6,6,11,0.9265761329666397,3,0.4,0.937320999994995
Fitness,random,5,7,6,32,1.0,3,0.4,1.6454620000132536
Bully,random,5,7,5,15,0.7578587344701462,3,0.4,0.8796609999990324
Random,random,5,7,1,5,0.7764227392664126,3,0.4,0.8512680000052342
HighBattery,random,5,7,2,5,1.0,3,0.4,0.7075320000069496
MostConnected,random,5,7,2,8,1.0,3,0.4,0.8457790000022669
Raft,random,5,7,6,10,0.7578587344701462,3,0.4,0.917956999998637
Fitness,random,5,8,6,32,1.0,3,0.4,2.734859000000256
Bully,random,5,8,5,15,0.7054949336964852,3,0.4,1.4809400000075357
Random,random,5,8,1,5,1.0,3,0.4,1.0705069999943362
HighBattery,random,5,8,2,5,1.0,3,0.4,0.811280999997166
MostConnected,random,5,8,2,8,1.0,3,0.4,1.0022470000023986
Raft,random,5,8,6,10,0.7298401438061133,3,0.4,0.8392719999932297
Fitness,random,5,9,6,32,1.0,3,0.4,1.5990649999935158
Bully,random,5,9,5,15,0.7862723397427525,3,0.4,0.6827400000020134
Random,random,5,9,1,5,0.8772730256627514,3,0.4,0.6800790000056622
HighBattery,random,5,9,2,5,0.8772730256627514,3,0.4,0.6761920000002419
MostConnected,random,5,9,2,8,1.0,3,0.4,1.288380000005418
Raft,random,5,9,6,10,0.8772730256627514,3,0.4,1.123343000003274
Fitness,random,5,10,6,40,1.0,3,0.5,2.029522999990263
Bully,random,5,10,5,15,0.9488513300388239,3,0.5,0.7077679999980546
Random,random,5,10,1,5,0.7890926587200202,3,0.5,0.7591910000002144
HighBattery,random,5,10,2,5,1.0,3,0.5,0.7552029999970955
MostConnected,random,5,10,2,10,0.9498457525018378,3,0.5,0.718758000004982
Raft,random,5,10,6,11,0.9346520000614855,3,0.5,0.7195410000093716
Fitness,random,5,11,6,32,1.0,3,0.4,2.356546000001458
Bully,random,5,11,5,15,0.7641879959586092,3,0.4,0.7475519999928792
Random,random,5,11,1,5,0.8876188931332516,3,0.4,1.156316000006541
HighBattery,random,5,11,2,5,0.8876188931332516,3,0.4,0.9627710000046363
MostConnected,random,5,11,2,8,1.0,3,0.4,1.455297999996219
Raft,random,5,11,6,12,1.0,3,0.4,1.0564959999896928
Fitness,random,5,12,7,40,1.0,4,0.4,1.3969020000104138
Bully,random,5,12,5,15,0.7736305210394749,4,0.4,0.6935260000062726
Random,random,5,12,1,5,0.6955167093331421,4,0.4,0.8326130000000376
HighBattery,random,5,12,2,5,1.0,4,0.4,0.46511600000087583
MostConnected,random,5,12,2,8,0.9992502266707051,4,0.4,0.5478060000001506
Raft,random,5,12,7,10,0.6955167093331421,4,0.4,0.5727949999965176
Fitness,random,5,13,5,36,1.0,2,0.6,1.1994860000044127
Bully,random,5,13,5,15,0.872127934779855,2,0.6,0.7187949999973853
Random,random,5,13,1,5,0.9749002720226443,2,0.6,0.5007910000074389
HighBattery,random,5,13,2,5,0.9749002720226443,2,0.6,0.48219199999266493
MostConnected,random,5,13,2,12,1.0,2,0.6,0.6950650000021596
Raft,random,5,13,6,12,0.9749002720226443,2,0.6,1.131761000010556
Fitness,random,5,14,6,32,1.0,3,0.4,2.4022350000052484
Bully,random,5,14,5,15,0.7473238809157428,3,0.4,1.3869609999943577
Random,random,5,14,1,5,0.7098138044468247,3,0.4,2.0474789999980203
HighBattery,random,5,14,2,5,1.0,3,0.4,2.0388089999983094
MostConnected,random,5,14,2,8,1.0,3,0.4,1.5370099999927334
Raft,random,5,14,6,11,0.7538714883822826,3,0.4,0.8343540000055327
Fitness,random,5,15,6,32,1.0,3,0.4,1.9760449999921548
Bully,random,5,15,5,15,0.7578081639436031,3,0.4,1.42637000000434
Random,random,5,15,1,5,0.8975058992427195,3,0.4,0.8752239999978428
HighBattery,random,5,15,2,5,0.8505140278109281,3,0.4,0.7187490000006846
MostConnected,random,5,15,2,8,1.0,3,0.4,0.8020460000039975
Raft,random,5,15,6,11,0.8975058992427195,3,0.4,0.8217799999954423
Fitness,random,5,16,5,36,1.0,2,0.6,2.3464530000012473
Bully,random,5,16,5,15,0.9053693273047773,2,0.6,1.0605410000010806
Random,random,5,16,1,5,0.9114707683563742,2,0.6,0.5498740000007274
HighBattery,random,5,16,2,5,0.6965237098073622,2,0.6,0.5518610000052604
MostConnected,random,5,16,2,12,1.0,2,0.6,1.090339000000995
Raft,random,5,16,6,13,1.0,2,0.6,1.2271370000007664
Fitness,random,5,17,5,42,1.0,2,0.7,1.1376669999947353
Bully,random,5,17,5,15,0.9712830827360891,2,0.7,0.37200499998846226
Random,random,5,17,1,5,0.8706564771752886,2,0.7,0.362869999989357
HighBattery,random,5,17,2,5,0.9712830827360891,2,0.7,0.6194999999991069
MostConnected,random,5,17,2,14,1.0,2,0.7,0.5758369999995239
Raft,random,5,17,6,13,1.0,2,0.7,0.6484210000081703
Fitness,random,5,18,6,40,1.0,3,0.5,2.7171819999978197
Bully,random,5,18,5,15,0.9002666635915361,3,0.5,1.3920030000065253
Random,random,5,18,1,5,0.7376624565160101,3,0.5,1.1183029999983773
HighBattery,random,5,18,2,5,0.9361656595871891,3,0.5,1.2281560000104719
MostConnected,random,5,18,2,10,1.0,3,0.5,1.2118730000025835
Raft,random,5,18,6,11,0.9002666635915361,3,0.5,0.9706860000022743
Fitness,random,5,19,5,24,1.0,2,0.4,2.3031709999941086
Bully,random,5,19,5,15,0.7505910953561317,2,0.4,0.9845409999940102
Random,random,5,19,1,5,1.0,2,0.4,0.9844269999916833
HighBattery,random,5,19,2,5,1.0,2,0.4,0.9816729999982954
MostConnected,random,5,19,2,8,1.0,2,0.4,1.2322850000003882
Raft,random,5,19,7,10,0.7505910953561317,2,0.4,1.1797039999947856
Fitness,random,5,20,6,32,1.0,3,0.4,2.7862789999915094
Bully,random,5,20,5,15,0.8082330890963254,3,0.4,0.7269879999967088
Random,random,5,20,1,5,1.0,3,0.4,0.7092320000054997
HighBattery,random,5,20,2,5,0.7983161264400446,3,0.4,0.8230799999893179
MostConnected,random,5,20,2,8,1.0,3,0.4,0.8153529999930242
Raft,random,5,20,6,10,0.7416114322449444,3,0.4,1.0017479999930856
