algorithm,topology,n_agents,trial,lqs,leader_fitness,rounds_to_converge,messages_sent,election_time_ms
Fitness,random,10,6,1.0,0.8442557537461844,6,96,9.919310999999986
Bully,random,10,6,0.478489265735694,0.4039673157031467,10,55,3.5568580000004957
Random,random,10,6,1.0,0.8442557537461844,1,10,2.577878000000311
HighBattery,random,10,6,0.9806371385940658,0.8279085465952345,2,10,2.4190669999999415
MostConnected,random,10,6,1.0,0.8442557537461844,2,24,2.650606000000444
Raft,random,10,6,1.0,0.0,6,23,3.4650790000005927
Fitness,random,10,7,1.0,0.9265415445082525,7,160,5.732451000000083
Bully,random,10,7,0.9121181817511381,0.8451153888937585,10,55,2.4042829999997295
Random,random,10,7,0.6692052208781989,0.6200464389454727,1,10,3.099293000000003
HighBattery,random,10,7,0.8202165393211975,0.7599646991738762,2,10,2.6517290000001026
MostConnected,random,10,7,1.0,0.9265415445082525,2,32,3.0012130000001136
Raft,random,10,7,0.6692052208781989,0.0,6,22,2.558282999999939
Fitness,random,10,8,1.0,0.8320943037256328,6,136,5.50588500000071
Bully,random,10,8,1.0,0.8320943037256328,10,55,2.2230560000000565
Random,random,10,8,0.979457825956819,0.8150012777181612,1,10,2.084459000000649
HighBattery,random,10,8,0.8393732232834894,0.6984376777940152,2,10,2.029288000000129
MostConnected,random,10,8,1.0,0.8320943037256328,2,34,2.9553230000001207
Raft,random,10,8,0.8741544328372811,0.7273789241404128,6,23,3.436649999999375
Fitness,random,10,9,1.0,0.9083243401366045,7,120,3.9879349999996094
Bully,random,10,9,0.9512121402915136,0.8640091396602163,10,55,1.6039829999998645
Random,random,10,9,0.674502199231345,0.6126667650375,1,10,1.4689350000001156
HighBattery,random,10,9,0.6039385068171823,0.5485720456878033,2,10,1.4633749999992673
MostConnected,random,10,9,0.9568021617853297,0.8690866922449363,2,24,1.6405290000003347
Raft,random,10,9,0.9103591700451719,0.8269013924185876,6,22,1.9889570000000134
Fitness,random,10,10,1.0,0.781615567442189,6,160,4.474856999999943
Bully,random,10,10,0.9481036556417161,0.7410525767984136,10,55,2.0185279999997974
Random,random,10,10,0.9490974948975113,0.7418293770322784,1,10,1.8311969999995625
HighBattery,random,10,10,0.9303293647986548,0.7271599143752318,2,10,2.1365869999998566
MostConnected,random,10,10,0.9303293647986548,0.7271599143752318,2,40,2.1712120000003665
Raft,random,10,10,0.9543038390175166,0.0,6,23,2.1923629999998084
Fitness,random,10,11,1.0,0.8212586205039687,6,96,10.17128600000028
Bully,random,10,11,0.8622250283851165,0.708109737375556,10,55,3.7373619999998553
Random,random,10,11,0.9368615155972725,0.7694055959026733,1,10,3.5646780000000433
HighBattery,random,10,11,0.9092151082809126,0.7467007455681488,2,10,4.020788000000053
MostConnected,random,10,11,1.0,0.8212586205039687,2,24,3.2321049999994855
Raft,random,10,11,0.9368615155972725,0.7694055959026733,6,22,3.7221899999995145
Fitness,random,10,12,1.0,0.8464480070339103,8,156,5.71108300000045
Bully,random,10,12,0.6196646980163328,0.5245139486651949,10,55,3.0076650000001592
Random,random,10,12,0.7467062404392761,0.6320480090596091,1,10,2.591950999999426
HighBattery,random,10,12,0.9243897066175487,0.7824478248890852,2,10,1.7816589999997134
MostConnected,random,10,12,0.9333304298763293,0.7900156822729217,2,26,2.036104000000094
Raft,random,10,12,0.9333304298763293,0.7900156822729217,6,24,2.6052139999999113
Fitness,random,10,13,1.0,0.8663908916049196,7,120,4.112713999999684
Bully,random,10,13,0.6051800395031073,0.5243224740065976,10,55,1.5647969999994515
Random,random,10,13,0.7383753873762805,0.6397217102080636,1,10,1.5737060000002856
HighBattery,random,10,13,0.8750092265896597,0.7581000239875464,2,10,1.5466049999997011
MostConnected,random,10,13,1.0,0.8663908916049196,2,24,1.7529309999995135
Raft,random,10,13,0.8700391365312602,0.0,6,22,1.8356389999993894
Fitness,random,10,14,1.0,0.8515128861532104,7,160,5.011908000000176
Bully,random,10,14,0.7671259604821876,0.6532176406532412,10,55,1.4213989999998233
Random,random,10,14,0.6411747473599648,0.5459685596530391,1,10,2.254015000000109
HighBattery,random,10,14,0.9738420150917794,0.8292390249280593,2,10,1.9792549999992914
MostConnected,random,10,14,1.0,0.8515128861532104,2,32,1.849230000000368
Raft,random,10,14,0.9077084577879483,0.0,6,23,1.6695389999998866
Fitness,random,10,15,1.0,0.8315952218602511,8,132,5.118247000000409
Bully,random,10,15,0.9055679740384756,0.7530660002800642,10,55,2.1034359999996255
Random,random,10,15,0.7049223188541761,0.5862100321417812,1,10,2.092788000000567
HighBattery,random,10,15,0.6136214698780694,0.5102846823814665,2,10,3.0179649999997338
MostConnected,random,10,15,0.9293618819279709,0.7728529003903515,2,22,2.5443960000002264
